Zip Code,Location,Population,Avg. Income/H/hold,City,Latitude,Longitude,NatRank
78260,"29.710970, -98.475902","2,702",71250.00,San Antonio,29.71097,98.475902,"1,395"
75032,"32.854761, -96.419559","14,243",71140.00,Rockwall,32.854761,96.419559,"1,413"
78023,"29.621586, -98.756372","7,725",70833.00,Helotes,29.621586,98.756372,"1,449"
75089,"32.938077, -96.556367","18,446",70821.00,Rowlett,32.938077,96.556367,"1,452"
77388,"30.059510, -95.459444","26,623",70779.00,Spring,30.05951,95.459444,"1,457"
77546,"29.516956, -95.195052","38,915",70773.00,Friendswood,29.516956,95.195052,"1,460"
77476,"29.688294, -95.990971","1,127",70694.00,Simonton,29.688294,95.990971,"1,472"
75048,"32.959037, -96.577648","9,841",70667.00,Sachse,32.959037,96.577648,"1,476"
77079,"29.774523, -95.601071","30,887",70587.00,Houston,29.774523,95.601071,"1,485"
77478,"29.631796, -95.633188","52,591",70561.00,Sugar Land,29.631796,95.633188,"1,487"
78144,"28.957538, -97.890389",41,70208.00,Panna Maria,28.957538,97.890389,"1,522"
77584,"29.542516, -95.335279","29,441",70113.00,Pearland,29.542516,95.335279,"1,536"
77384,"30.258093, -95.506221","3,853",70095.00,Conroe,30.258093,95.506221,"1,538"
75007,"33.004159, -96.898142","49,933",70081.00,Carrollton,33.004159,96.898142,"1,543"
75078,"33.241902, -96.807989","2,959",70000.00,Prosper,33.241902,96.807989,"1,552"
78652,"30.133955, -97.846538","3,358",69831.00,Manchaca,30.133955,97.846538,"1,566"
75248,"32.970628, -96.795131","33,020",69809.00,Dallas,32.970628,96.795131,"1,567"
75034,"33.154690, -96.844282","16,101",69635.00,Frisco,33.15469,96.844282,"1,584"
78613,"30.510177, -97.818626","34,250",69542.00,Cedar Park,30.510177,97.818626,"1,590"
79121,"35.174034, -101.929141","6,332",69485.00,Amarillo,35.174034,1.929141,"1,593"
76002,"32.626526, -97.082555","7,355",69404.00,Arlington,32.626526,97.082555,"1,603"
77339,"30.046777, -95.221022","30,982",69242.00,Kingwood,30.046777,95.221022,"1,615"
77069,"29.986925, -95.524903","14,756",68662.00,Houston,29.986925,95.524903,"1,673"
77389,"30.123454, -95.517064","13,219",68617.00,Spring,30.123454,95.517064,"1,681"
77573,"29.491602, -95.105944","41,727",68458.00,League City,29.491602,95.105944,"1,696"
78749,"30.216168, -97.856006","28,497",68244.00,Austin,30.216168,97.856006,"1,718"
78620,"30.238069, -98.120833","9,689",68071.00,Dripping Springs,30.238069,98.120833,"1,740"
75181,"32.720691, -96.550051","16,225",67806.00,Mesquite,32.720691,96.550051,"1,769"
78231,"29.580238, -98.542848","7,615",67409.00,San Antonio,29.580238,98.542848,"1,814"
79776,"31.682729, -102.625332",41,67000.00,Penwell,31.682729,2.625332,"1,861"
78163,"29.769466, -98.453225","7,854",66786.00,Bulverde,29.769466,98.453225,"1,905"
76008,"32.671071, -97.630980","8,260",66758.00,Aledo,32.671071,97.63098,"1,909"
75251,"32.919435, -96.774780","1,331",66755.00,Dallas,32.919435,96.77478,"1,910"
76001,"32.638744, -97.147327","21,566",66746.00,Arlington,32.638744,97.147327,"1,911"
78623,"29.960572, -98.201092",310,66042.00,Fischer,29.960572,98.201092,"1,992"
78660,"30.447874, -97.591779","34,428",65978.00,Pflugerville,30.447874,97.591779,"2,004"
75087,"32.947083, -96.438077","16,491",65810.00,Rockwall,32.947083,96.438077,"2,034"
78628,"30.684846, -97.763858","25,859",65699.00,Georgetown,30.684846,97.763858,"2,050"
