region_name,state_name,lat_max,lat_min,lng_max,lng_min,lat_avg,lng_avg,yearly_sunlight_kwh_kw_threshold_avg,count_qualified,percent_covered,percent_qualified,number_of_panels_n,number_of_panels_s,number_of_panels_e,number_of_panels_w,number_of_panels_f,number_of_panels_median,number_of_panels_total,kw_median,kw_total,yearly_sunlight_kwh_n,yearly_sunlight_kwh_s,yearly_sunlight_kwh_e,yearly_sunlight_kwh_w,yearly_sunlight_kwh_f,yearly_sunlight_kwh_median,yearly_sunlight_kwh_total,install_size_kw_buckets_json,carbon_offset_metric_tons,existing_installs_count
75023,Texas,33.0734992,33.0386838,-96.6929273,-96.7715877,33.05639999,-96.73559496,1134.75,14495,98.92004293,98.29117787,87300,324349,201792,307649,193480,60,1114570,15,278642.5,25418912.93,116379444.2,63154018.48,99641094.6,66605095.91,19609.42571,371198566.1,"[[0,757],[5,2857],[10,3539],[15,3219],[20,2227],[25,1128],[30,307],[35,86],[40,61],[45,47],[50,33],[55,24],[60,10],[65,19],[70,16],[75,14],[80,9],[85,7],[90,11],[95,4],[105,6],[110,4],[115,2],[120,5],[125,4],[130,3],[135,7],[140,3],[145,1],[150,2],[155,1],[160,2],[165,4],[170,5],[175,2],[180,1],[185,1],[195,2],[200,1],[210,1],[215,1],[220,2],[225,1],[235,1],[240,1],[245,1],[250,3],[265,1],[270,1],[275,1],[280,1],[285,1],[295,2],[300,1],[325,1],[335,1],[340,1],[345,1],[355,1],[370,2],[380,1],[390,1],[395,1],[400,1],[405,1],[430,1],[435,2],[450,1],[455,1],[470,1],[510,1],[515,1],[520,1],[535,1],[545,1],[560,1],[585,1],[680,1],[710,1],[720,2],[760,1],[765,1],[805,1],[870,1],[880,1],[1025,1],[1030,1],[1125,1],[1155,1],[1290,1],[1300,1],[1305,1],[1325,1],[1715,1],[2130,1],[3180,1]]",180508.8324,95
75024,Texas,33.1107585,33.0466514,-96.7688477,-96.8570349,33.07784092,-96.79555808,1135.325395,8787,98.33755367,98.37662338,24636,215611,115854,213015,429493,46,998609,11.5,249652.25,7202989.76,77752511.8,35640317.93,68758869.32,146508411.1,15479.79617,335863099.9,"[[0,641],[5,2660],[10,2531],[15,1377],[20,501],[25,142],[30,95],[35,92],[40,84],[45,83],[50,62],[55,53],[60,46],[65,36],[70,31],[75,21],[80,16],[85,8],[90,15],[95,4],[100,8],[105,4],[110,8],[115,17],[120,5],[125,9],[130,6],[135,7],[140,1],[145,4],[150,3],[155,4],[160,8],[165,4],[170,3],[175,4],[180,1],[185,3],[190,8],[195,5],[200,5],[205,3],[210,2],[215,3],[225,2],[230,1],[235,7],[240,3],[245,7],[255,4],[260,3],[265,1],[270,2],[280,1],[285,1],[290,2],[295,1],[300,1],[305,1],[320,4],[325,3],[335,2],[340,1],[345,1],[355,2],[365,1],[370,1],[375,1],[380,2],[385,4],[390,3],[400,1],[405,2],[410,2],[420,1],[425,2],[430,2],[440,1],[450,1],[455,2],[460,3],[465,1],[470,1],[480,1],[500,1],[515,2],[520,1],[525,2],[530,1],[540,3],[545,3],[555,1],[565,1],[580,1],[595,1],[600,1],[605,1],[610,1],[615,1],[625,1],[635,1],[640,2],[660,1],[680,1],[690,1],[695,1],[700,2],[725,1],[730,2],[740,1],[750,1],[755,3],[775,1],[780,1],[790,1],[800,1],[810,1],[820,1],[830,3],[835,1],[850,1],[855,1],[890,1],[895,1],[935,2],[955,1],[965,1],[1040,1],[1055,1],[1065,1],[1080,2],[1085,1],[1095,1],[1110,2],[1145,1],[1175,2],[1185,1],[1195,1],[1230,1],[1365,1],[1630,1],[1715,1],[1770,1],[1930,1],[2040,1],[2325,1],[2910,1],[3235,1],[3545,1]]",163325.674,60
75025,Texas,33.122077,33.068022,-96.6886031,-96.7731983,33.08895491,-96.74387524,1134.75,14548,99.52017301,98.79125357,20295,302859,165296,301502,84617,47,874569,11.75,218642.25,5914342.653,108629071,50513167.72,96018011.95,28895403.98,15466.83367,289969997.3,"[[0,919],[5,4377],[10,4992],[15,2629],[20,819],[25,225],[30,85],[35,57],[40,56],[45,58],[50,52],[55,43],[60,46],[65,26],[70,24],[75,27],[80,16],[85,14],[90,1],[95,7],[100,3],[105,6],[110,6],[115,2],[120,1],[125,3],[130,1],[135,1],[145,2],[150,2],[155,2],[160,3],[165,1],[170,3],[180,1],[185,1],[190,1],[200,2],[205,2],[220,1],[225,1],[250,1],[255,3],[275,1],[280,1],[305,1],[330,2],[360,1],[450,1],[475,1],[490,1],[545,1],[550,1],[665,1],[705,1],[710,1],[725,2],[740,1],[770,1],[835,1],[985,1],[990,1],[995,1],[1000,1],[1050,1],[1120,1],[1140,1]]",141008.4802,122
75028,Texas,33.0736132,32.9879219,-97.0161498,-97.1094525,33.03598286,-97.05928872,1139.822167,13140,96.92742696,85.18086348,13059,203021,86191,130099,242080,29,674450,7.25,168612.5,3841266.39,71708239.41,26440988.67,41819376.88,82990682.96,9598.332605,226800554.3,"[[0,3809],[5,5378],[10,2592],[15,686],[20,200],[25,67],[30,51],[35,56],[40,29],[45,39],[50,39],[55,28],[60,15],[65,15],[70,12],[75,5],[80,6],[85,5],[90,2],[95,8],[100,1],[105,5],[110,5],[115,2],[120,2],[125,7],[130,2],[135,4],[140,2],[145,1],[150,1],[155,3],[160,2],[175,1],[185,1],[190,1],[195,1],[200,2],[210,1],[230,1],[235,1],[245,1],[255,2],[265,2],[270,1],[275,2],[280,1],[285,1],[305,1],[320,1],[355,1],[360,1],[380,1],[385,1],[410,1],[425,1],[435,1],[450,1],[465,1],[475,1],[510,2],[515,1],[555,3],[625,1],[655,1],[660,1],[670,1],[710,1],[765,1],[780,1],[920,1],[955,1],[1050,1],[1120,1],[1145,1],[1160,1],[1270,1],[1290,1],[1300,1],[1445,1],[1925,1],[2475,1],[2510,1],[2620,1],[2765,1],[2975,1],[3745,1]]",110290.0361,43
75032,Texas,32.9458427,32.8101172,-96.3155046,-96.5160795,32.87452791,-96.44405068,1118.6,14,0.112830432,100,170,72,210,452,11135,793,12039,198.25,3009.75,54581.13633,24069.61031,65380.68806,159570.0238,3798997.612,270067.4984,4102599.071,"[[5,1],[65,1],[70,1],[75,1],[85,1],[100,1],[195,1],[200,1],[220,1],[240,1],[280,1],[335,1],[350,1],[760,1]]",1995.038332,0
75033,Texas,33.1787833,33.1754046,-96.8123665,-96.8435171,33.176497,-96.83206742,1135.486364,38,80.85106383,100,222,1739,1529,2328,8021,177,13839,44.25,3459.75,61752.70669,641991.3995,473871.7308,780425.7134,2723339.893,59223.8881,4681381.444,"[[0,2],[5,2],[10,1],[20,2],[25,2],[35,3],[40,7],[45,5],[50,2],[55,2],[60,1],[65,1],[85,1],[105,1],[120,1],[185,1],[225,1],[370,1],[525,1],[695,1]]",2276.492356,0
75034,Texas,33.2164134,33.0700102,-96.76364,-96.9448381,33.14626017,-96.86511022,1138.371881,27743,85.82919682,96.65540187,44379,603622,289289,485088,879531,50,2301909,12.5,575477.25,13000309.01,214853421.9,88871883.51,155617188,299665230.3,16730.83368,772008032.8,"[[0,1842],[5,7117],[10,8408],[15,4837],[20,2050],[25,913],[30,526],[35,386],[40,304],[45,248],[50,194],[55,107],[60,123],[65,54],[70,51],[75,45],[80,36],[85,29],[90,27],[95,22],[100,20],[105,21],[110,15],[115,11],[120,11],[125,9],[130,10],[135,9],[140,12],[145,12],[150,11],[155,14],[160,5],[165,6],[170,10],[175,8],[180,4],[185,7],[190,4],[195,3],[200,4],[205,6],[210,3],[215,1],[220,4],[225,7],[230,5],[235,2],[240,2],[245,4],[250,3],[255,3],[260,5],[265,3],[275,1],[280,3],[285,2],[290,2],[300,5],[305,1],[310,1],[315,1],[320,1],[325,3],[330,1],[340,1],[345,4],[350,3],[355,3],[365,3],[370,2],[375,2],[380,1],[385,3],[395,3],[405,1],[410,3],[415,1],[420,2],[425,3],[430,3],[435,2],[440,5],[460,1],[470,2],[480,1],[485,2],[490,1],[510,2],[515,2],[520,1],[525,4],[535,1],[540,1],[550,3],[555,1],[565,1],[570,2],[575,3],[580,3],[585,1],[590,1],[595,2],[600,1],[610,1],[625,1],[635,2],[640,1],[650,1],[655,1],[660,2],[665,1],[675,1],[685,1],[690,1],[700,1],[710,1],[715,1],[720,1],[735,1],[740,1],[745,1],[755,1],[760,1],[765,2],[780,1],[800,2],[805,1],[810,1],[820,1],[830,1],[840,1],[860,1],[870,1],[880,1],[900,1],[905,2],[925,1],[955,1],[970,1],[980,1],[1010,1],[1030,1],[1045,1],[1115,1],[1140,1],[1225,1],[1285,1],[1310,1],[1315,1],[1350,1],[1380,1],[1455,1],[1510,1],[1525,1],[1580,1],[1620,1],[1650,1],[1675,1],[1700,1],[1715,1],[1880,1],[1945,1],[2025,1],[2565,1],[2645,1],[3145,1]]",375417.0445,78
75035,Texas,33.2108696,33.1000516,-96.7333012,-96.8143967,33.1499374,-96.77398606,1134.75,18491,87.22250783,99.0783904,19850,357325,182670,360202,300206,48,1220253,12,305063.25,5872927.519,127751443.6,55240938.85,114470538.4,102141675.4,15960.58115,405477523.7,"[[0,911],[5,5107],[10,6584],[15,3260],[20,1104],[25,345],[30,225],[35,238],[40,204],[45,148],[50,100],[55,76],[60,31],[65,24],[70,12],[75,13],[80,5],[85,5],[90,6],[95,3],[105,5],[110,1],[120,3],[130,3],[135,4],[140,3],[145,2],[150,2],[155,1],[160,1],[165,1],[170,3],[180,1],[185,1],[190,1],[195,1],[200,2],[215,1],[220,1],[230,1],[235,1],[245,1],[250,2],[265,1],[275,1],[280,3],[285,2],[290,2],[300,1],[305,1],[330,1],[340,2],[345,1],[355,1],[370,1],[375,1],[380,1],[405,1],[455,1],[510,1],[580,1],[600,1],[635,1],[705,1],[750,1],[760,1],[765,1],[775,1],[780,1],[815,1],[860,1],[875,1],[915,1],[920,1],[1125,1],[1135,1],[1300,1],[1315,1],[1390,1],[1510,2],[1565,1],[1570,1],[1980,1],[2055,1],[2360,1]]",197178.2249,74
75038,Texas,32.8905438,32.8553111,-96.9452785,-97.027966,32.86652766,-96.98307896,1126.25,3391,94.3519189,86.74852904,23644,79812,45233,67428,261741,52,477858,13,119464.5,6787936.562,28752288.49,14189899.12,22210136.95,89421786.38,17557.2578,161362047.5,"[[0,644],[5,712],[10,495],[15,331],[20,268],[25,209],[30,155],[35,100],[40,70],[45,38],[50,38],[55,36],[60,35],[65,31],[70,17],[75,24],[80,11],[85,7],[90,7],[95,9],[100,5],[105,3],[110,7],[115,4],[120,3],[125,3],[130,4],[135,2],[140,1],[145,5],[150,4],[155,3],[160,4],[165,3],[170,2],[180,1],[185,1],[190,3],[195,2],[200,1],[205,4],[210,2],[215,2],[220,1],[225,4],[230,2],[235,1],[240,3],[245,1],[260,2],[265,1],[270,1],[275,2],[280,1],[285,1],[300,1],[310,1],[320,2],[325,1],[330,1],[335,1],[345,3],[355,1],[360,4],[365,1],[375,1],[380,1],[385,1],[390,1],[405,2],[410,1],[415,1],[420,1],[435,1],[445,1],[465,1],[500,2],[505,1],[510,1],[520,2],[530,1],[540,1],[560,1],[620,1],[625,1],[640,2],[650,1],[665,1],[735,1],[790,1],[800,1],[860,2],[870,1],[935,1],[950,1],[980,1],[1020,2],[1065,1],[1120,1],[1140,1],[1155,1],[1250,1],[1380,1],[1395,1],[1440,1],[1790,1],[2140,1],[2735,1]]",78468.17699,9
75039,Texas,32.9113779,32.8400977,-96.9138908,-96.9707855,32.89245942,-96.94216037,1126.25,2015,92.85109983,91.79954442,6711,39717,25528,38966,183383,38,294305,9.5,73576.25,1933347.467,14322783.71,7908832.075,12944684.83,61933627.5,12505.97239,99043275.58,"[[0,361],[5,686],[10,385],[15,148],[20,72],[25,45],[30,38],[35,26],[40,27],[45,31],[50,24],[55,21],[60,15],[65,14],[70,5],[75,3],[80,2],[85,4],[90,3],[95,4],[100,2],[105,2],[110,2],[115,3],[120,1],[125,2],[130,3],[140,2],[145,2],[150,2],[155,1],[160,1],[165,2],[175,1],[180,1],[190,1],[195,2],[200,1],[205,1],[210,1],[220,1],[230,1],[235,1],[240,1],[250,1],[255,1],[260,1],[265,2],[275,1],[285,2],[290,1],[310,3],[335,1],[350,1],[370,1],[375,1],[380,1],[390,1],[395,2],[400,2],[410,2],[415,1],[435,1],[460,1],[470,1],[500,1],[520,1],[525,2],[540,1],[565,1],[570,1],[575,1],[595,1],[605,1],[610,1],[615,2],[645,1],[650,2],[665,1],[680,1],[690,1],[750,1],[760,1],[790,1],[795,1],[840,1],[900,1],[950,1],[965,1],[1025,1],[1050,1],[1090,1],[1190,1],[1460,1],[1465,1],[1500,1],[1790,1],[2165,1]]",48163.40273,9
